name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Hanoi, HN",2019-07-17,36,28,32,45.1,35.6,41.2,26.7,75.5,0.192,100,4.17,rain,0,0,23.4,17.5,114.8,1001.7,45.8,9.6,269.8,23.4,8,,2019-07-17T05:24:22,2019-07-17T18:40:53,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-07-18,35.7,28.5,31.9,47.5,37.6,42.5,27.5,79,0,0,0,,0,0,21.2,15.7,90.7,1000,54.2,9,220.7,18.9,7,,2019-07-18T05:24:46,2019-07-18T18:40:39,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-07-19,37,29,33,51.6,39.7,45.1,27.9,75.9,0.3,100,8.33,rain,0,0,17.3,20.3,76.2,999.3,53.2,8.6,282.3,24.4,9,,2019-07-19T05:25:09,2019-07-19T18:40:24,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-07-20,36,27,31.5,45.4,29.9,37.9,24.6,67.7,0.002,100,4.17,rain,0,0,25.6,15.7,215.8,1002.6,57.7,10,238.3,20.6,8,,2019-07-20T05:25:33,2019-07-20T18:40:08,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-07-21,36,26.8,30.1,46.3,30.1,36.3,25.7,79.1,5.856,100,8.33,rain,0,0,23.4,18.4,108.2,1003.3,44.6,9.8,243.2,20.8,8,,2019-07-21T05:25:57,2019-07-21T18:39:51,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-07-22,34.5,26,30.2,42.6,26,36.6,25.8,78.6,0,0,0,,0,0,24.5,19.4,96.1,1001.9,47,9.4,216.7,18.7,8,,2019-07-22T05:26:20,2019-07-22T18:39:33,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-07-23,34.5,27.5,29.7,41.2,31.4,35.8,25.3,79,4.3,100,37.5,rain,0,0,35.3,13.1,82,1000.8,55.5,9.6,154.8,13.3,5,,2019-07-23T05:26:44,2019-07-23T18:39:13,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-07-24,33.8,26.5,29.1,41.3,26.5,34.6,25.3,80.9,1.6,100,25,rain,0,0,31.3,13,54.8,1002.1,65.8,9.6,175.9,15.2,7,,2019-07-24T05:27:07,2019-07-24T18:38:53,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-07-25,31,26.5,28.1,38.2,26.5,33.3,26.3,90.9,19.928,100,8.33,rain,0,0,27,16.6,75.8,1004.9,61.8,9.6,110.7,9.7,4,,2019-07-25T05:27:31,2019-07-25T18:38:31,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-07-26,33.7,27,30,41.3,31.8,36.8,26.1,81.4,0.002,100,4.17,rain,0,0,21.6,14.8,107.4,1004.4,49.8,8.8,198.4,17.1,8,,2019-07-26T05:27:54,2019-07-26T18:38:08,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-07-27,34.8,28,31,43.4,35.6,38.8,26,76,0,0,0,,0,0,20.5,17.5,113.9,1003.5,55,11,260.7,22.6,8,,2019-07-27T05:28:18,2019-07-27T18:37:44,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-07-28,34.5,28,30.7,44.2,34.5,38.4,26,76.9,6.88,100,4.17,rain,0,0,25.9,17.6,101.2,1003.8,61.6,10,226,19.6,7,,2019-07-28T05:28:41,2019-07-28T18:37:20,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-07-29,34.5,27.9,30.7,44.2,31.7,38.5,26.1,77.2,40.999,100,4.17,rain,0,0,23.8,19.4,111.1,1003.7,52.7,9.8,196,16.8,8,,2019-07-29T05:29:04,2019-07-29T18:36:54,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48823099999,48820099999,48825099999,48831099999,remote,VVNB"
"Hanoi, HN",2019-07-30,33.2,26.8,28.8,39.9,29.2,33.6,24.6,78.8,18.591,100,12.5,rain,0,0,24.5,18.5,78.9,1003.3,66,9.8,163.8,14.2,7,,2019-07-30T05:29:27,2019-07-30T18:36:26,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-07-31,34,27,29.7,41.3,29.9,34.7,24.3,73.3,0.048,100,4.17,rain,0,0,27.7,14.8,313.7,1002.3,51.9,10,216.9,18.7,8,,2019-07-31T05:29:50,2019-07-31T18:35:58,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-01,29.3,25.5,27.2,37.1,25.5,30.4,25.5,91.1,34.712,100,16.67,rain,0,0,26.6,18.4,321.7,999.9,66.3,9.2,57,5,2,,2019-08-01T05:30:12,2019-08-01T18:35:29,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-02,30,25.7,27.2,37.5,25.7,30.5,26.2,94.8,5.338,100,16.67,rain,0,0,26.6,22.3,291.2,997.5,61.2,9.7,104.7,9.2,4,,2019-08-02T05:30:35,2019-08-02T18:34:59,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-03,27.5,25,26.1,32.4,25,26.5,25.8,98,131.216,100,20.83,rain,0,0,57.2,32.6,330,995.5,69,6.8,23.8,2.1,1,,2019-08-03T05:30:57,2019-08-03T18:34:28,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-04,30.5,25.6,27.3,37.6,25.6,30.3,25.8,92.4,75.485,100,16.67,rain,0,0,37.1,20.5,53.4,1000.2,63.8,9.5,98.2,8.6,4,,2019-08-04T05:31:19,2019-08-04T18:33:55,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-05,32,26,27.9,38.5,26,31.2,25.5,88,4.161,100,12.5,rain,0,0,17.3,13.6,44.8,1002.8,64.4,9.7,82.5,7.2,3,,2019-08-05T05:31:41,2019-08-05T18:33:22,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-06,34.4,26,30.2,42,26,35.9,25.4,77.7,2.5,100,33.33,rain,0,0,23.4,13,58.4,1003.1,49.3,9.3,259.3,22.3,9,,2019-08-06T05:32:03,2019-08-06T18:32:48,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-07,35.6,28,31.7,45.6,34.6,40.3,26.5,76.1,0.2,100,8.33,rain,0,0,21.6,13,51.4,1000.5,27.2,8.3,278.4,24,9,,2019-08-07T05:32:24,2019-08-07T18:32:13,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-08,33.7,27.9,30.3,40.8,33.1,38.4,26.5,81.1,7.856,100,8.33,rain,0,0,21.6,16.8,24.5,999.4,59.2,8.5,241.8,20.6,7,,2019-08-08T05:32:45,2019-08-08T18:31:37,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-09,34.9,24,29.7,42,24,34.8,25.1,78.2,44.894,100,8.33,rain,0,0,23.4,22.2,293.9,999.9,63.2,10.2,235,20.2,9,,2019-08-09T05:33:06,2019-08-09T18:31:00,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-10,35.5,27,31.4,45.6,31.2,39.3,26,74.3,0.529,100,4.17,rain,0,0,27.7,16.6,86.5,999.8,34,9,254.9,22,9,,2019-08-10T05:33:27,2019-08-10T18:30:22,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-11,36,28.5,32.1,48.1,37,41.9,27,76.2,3.4,100,16.67,rain,0,0,15.8,13.9,102.7,1000.2,35.7,8.6,254.3,21.9,9,,2019-08-11T05:33:48,2019-08-11T18:29:43,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-12,36.5,29,32.2,47.9,35.8,42,26.8,74.9,0,0,0,,0,0,19.4,13.4,128.4,1000.5,47.7,9.8,241.1,20.6,7,,2019-08-12T05:34:08,2019-08-12T18:29:03,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-13,37.5,28,32.9,47.5,33.6,41.1,25.6,66.8,0,0,0,,0,0,27.4,12.1,276.5,1000,58.8,10.5,282.5,24.2,9,,2019-08-13T05:34:28,2019-08-13T18:28:23,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-14,37.5,28.5,32.6,48.5,32,41.6,26,69.7,0,0,0,,0,0,22,14.8,2.1,1001.1,33.3,11.4,297.5,25.8,9,,2019-08-14T05:34:47,2019-08-14T18:27:41,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-15,36.7,27,31.5,47.2,28.7,38.6,25,69.6,0.024,100,4.17,rain,0,0,48.2,23.9,97.4,1001.3,44.4,10.1,276.3,24,9,,2019-08-15T05:35:07,2019-08-15T18:26:59,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-16,31.7,26,28.5,39.3,26,32.6,24.6,79.8,0.217,100,8.33,rain,0,0,22,16.6,32.4,1001.7,56.6,10,205.4,17.7,7,,2019-08-16T05:35:26,2019-08-16T18:26:16,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-17,32,26,28.4,39.4,26,33.4,25.3,84.1,0.002,100,4.17,rain,0,0,25.2,17.6,28.9,1003.1,63.5,9.8,130,11,7,,2019-08-17T05:35:45,2019-08-17T18:25:32,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-18,34.7,27,30.5,43.3,31.2,37.4,25.8,77.8,4.5,100,41.67,rain,0,0,24.8,12.1,6.5,1002.8,67.5,9.9,198.6,17.1,8,,2019-08-18T05:36:04,2019-08-18T18:24:47,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-19,34.5,27,29.8,45.9,30.1,37.4,26.3,82.3,15.759,100,4.17,rain,0,0,24.8,16.6,75.5,1002.3,51.5,9.4,190.1,16.4,7,,2019-08-19T05:36:22,2019-08-19T18:24:02,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-20,33.5,25.8,27.9,42.8,25.8,31.4,25,84.8,16.903,100,12.5,rain,0,0,50,22.1,353.1,1003.2,46.2,8.6,157.4,13.5,7,,2019-08-20T05:36:40,2019-08-20T18:23:16,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-21,30,25.9,27.6,37.4,25.9,31.2,25.6,89.5,8.553,100,12.5,rain,0,0,21.6,8.9,265.7,1004.5,49.4,7.1,111.8,9.6,4,,2019-08-21T05:36:58,2019-08-21T18:22:29,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-22,32,26,27.7,37.9,26,32,25.4,87.5,51.893,100,8.33,rain,0,0,23,13,74.2,1005.7,60,7.5,115.3,9.9,5,,2019-08-22T05:37:16,2019-08-22T18:21:42,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-23,32,25,27.1,38.5,25,28.7,24.4,86,2.409,100,8.33,rain,0,0,44.6,19.4,334.9,1007.4,55.6,9.2,170.8,14.7,6,,2019-08-23T05:37:34,2019-08-23T18:20:54,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
"Hanoi, HN",2019-08-24,34,24,27.6,43.5,24,30.1,24.7,85.4,6.843,100,8.33,rain,0,0,29.9,18.7,294.4,1005.7,27.5,8.3,251.1,21.8,9,,2019-08-24T05:37:51,2019-08-24T18:20:05,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
